,Lineup,MP,OPP POSS,PPP,OPP PPP,PTS DIFF PER80,REB,OPP REB,ORB%,DRB%,RB%,TO%
0,"Thomas Kurowski, Ezra Moos, Arrish Bhandal, Alec Bryan, Elliot Paschal",7.716666666666667,13.8624,0.6003842459173871,0.9377885503231764,-26.992344352463142,9,6,0.2857142857142857,0.875,0.6,0.1889168765743073
1,"Thomas Kurowski, Ezra Moos, Leonardo Edo, Joe Berry, Arrish Bhandal",3.8666666666666663,6.1824,0.7065568475452196,0.9704968944099378,-21.115203749177454,4,2,0.5,0.75,0.6666666666666666,0.26501766784452296
2,"Thomas Kurowski, Leonardo Edo, Joe Berry, Arrish Bhandal, Elliot Paschal",3.8166666666666664,9.3696,0.6040592783505155,1.3874658469945356,-62.672525491521604,0,4,0.0,0.0,0.0,0.1288659793814433
3,"Skyler Twyman, Eamonn Kenah, Leonardo Edo, Joe Berry, Josh Preston",3.75,6.72,2.2569444444444446,0.2976190476190476,156.74603174603175,3,1,,0.75,0.75,0.0
4,"Thomas Kurowski, Ezra Moos, Leonardo Edo, Joe Berry, Josh Preston",2.6,4.8,1.4583333333333335,1.0416666666666667,33.33333333333334,2,1,0.5,1.0,0.6666666666666666,0.16666666666666666
5,"Ezra Moos, Leonardo Edo, Joe Berry, Josh Preston, Elliot Paschal",2.3499999999999996,2.88,1.0416666666666667,0.6944444444444444,27.777777777777786,3,2,0.3333333333333333,1.0,0.6,0.0
6,"Thomas Kurowski, Skyler Twyman, Leonardo Edo, Joe Berry, Josh Preston",2.2666666666666666,4.8,0.4166666666666667,1.0416666666666667,-50.0,4,1,0.5,1.0,0.8,0.5
7,"Thomas Kurowski, Ezra Moos, Skyler Twyman, Arrish Bhandal, Alec Bryan",2.2333333333333334,3.84,2.430555555555556,2.0833333333333335,27.777777777777786,2,1,1.0,0.5,0.6666666666666666,0.0
8,"Ezra Moos, Joe Berry, Alec Bryan, Josh Preston, Elliot Paschal",1.8666666666666667,2.88,1.0416666666666667,0.6944444444444444,27.777777777777786,2,2,0.0,1.0,0.5,0.0
9,"Thomas Kurowski, Ezra Moos, Leonardo Edo, Arrish Bhandal, Elliot Paschal",1.5833333333333333,2.88,0.6944444444444444,0.0,55.55555555555556,3,2,0.0,1.0,0.6,0.0
10,"Thomas Kurowski, Eamonn Kenah, Arrish Bhandal, Alec Bryan, Elliot Paschal",1.55,3.3024,0.0,0.6056201550387597,-48.44961240310077,3,2,0.3333333333333333,1.0,0.6,0.0
11,"Thomas Kurowski, Skyler Twyman, Joe Berry, Arrish Bhandal, Alec Bryan",1.5,3.7247999999999997,2.0833333333333335,0.2684707903780069,145.18900343642613,1,1,,0.5,0.5,0.0
12,"Thomas Kurowski, Ezra Moos, Joe Berry, Arrish Bhandal, Alec Bryan",1.3666666666666667,2.88,2.0833333333333335,1.3888888888888888,55.55555555555557,1,2,0.0,0.5,0.3333333333333333,0.0
13,"Thomas Kurowski, Ezra Moos, Skyler Twyman, Leonardo Edo, Josh Preston",1.25,2.3424,3.125,0.0,250.0,1,1,,0.5,0.5,0.0
14,"Ezra Moos, Skyler Twyman, Leonardo Edo, Joe Berry, Josh Preston",0.85,2.7647999999999997,2.0833333333333335,0.7233796296296298,108.7962962962963,0,0,,,,0.0
15,"Thomas Kurowski, Ezra Moos, Skyler Twyman, Alec Bryan, Josh Preston",0.5833333333333334,1.3823999999999999,3.125,0.0,250.0,1,1,,0.5,0.5,0.0
16,"Thomas Kurowski, Leonardo Edo, Joe Berry, Josh Preston, Elliot Paschal",0.21666666666666667,2.7647999999999997,,0.7233796296296298,,0,0,,,,
17,"Thomas Kurowski, Skyler Twyman, Leonardo Edo, Joe Berry, Elliot Paschal",0.0,0.0,,,,0,0,,,,
