,Length,Outcome
0,12,Miss
1,9,Miss
2,13,Make
3,28,Miss
4,12,Make
5,7,Make
6,20,Make
7,9,Miss
8,14,Make
9,16,Make
10,5,Miss
11,15,Turnover
12,10,Make
13,12,Miss
14,7,Miss
15,30,Miss
16,20,Miss
17,19,Turnover
18,28,Miss
19,2,Turnover
20,17,Miss
21,4,Miss
22,24,Miss
23,9,Turnover
24,22,Make
25,26,Turnover
26,8,Make
27,18,Miss
28,8,Miss
29,18,Make
30,4,Make
31,24,Miss
32,7,Shooting Foul
33,24,Shooting Foul
34,6,Turnover
35,9,Make
36,17,Miss
37,20,Miss
38,18,Turnover
39,28,Miss
40,5,Make
41,28,Miss
42,19,Miss
43,7,Miss
44,25,Make
45,13,Make
46,18,Miss
47,21,Miss
48,18,Shooting Foul
49,10,Miss
50,6,Miss
51,6,Miss
52,9,Make
53,17,Make
54,10,Miss
55,11,Turnover
56,5,Miss
57,22,Make
58,13,Miss
59,9,Turnover
60,32,Miss
61,12,Make
62,24,Shooting Foul
63,7,Make
64,10,Miss
65,10,Miss
66,26,Miss
67,12,Make
68,26,Miss
69,5,Miss
70,12,Make
71,11,Miss
72,11,Miss
73,10,Make
74,9,Miss
75,14,Turnover
76,18,Make
77,5,Miss
78,13,Make
79,16,Make
80,15,Turnover
81,15,Make
82,20,Miss
83,6,Make
84,6,Miss
85,7,Turnover
86,10,Miss
