,Play Type,Outcome
0,Post-Up Right,0
1,Post-Up Right,0
2,Post-Up Right,0
3,Post-Up Right,0
4,Post-Up Right,1
5,Post-Up Right,1
6,Post-Up Right,1
7,Post-Up Right,1
8,Post-Up Right,1
9,Catch + Shoot (3PT),0
10,Catch + Shoot (3PT),0
11,Catch + Shoot (3PT),0
12,Catch + Shoot (3PT),0
13,Catch + Shoot (3PT),0
14,Catch + Shoot (3PT),0
15,Catch + Shoot (3PT),0
16,Catch + Shoot (3PT),0
17,Catch + Shoot (3PT),0
18,Catch + Shoot (3PT),0
19,Catch + Shoot (3PT),0
20,Catch + Shoot (3PT),0
21,Catch + Shoot (3PT),1
22,Catch + Shoot (3PT),1
23,Catch + Shoot (3PT),1
24,Offensive Rebound,1
25,Offensive Rebound,1
26,Offensive Rebound,1
27,Offensive Rebound,0
28,Face-Up (2PT),0
29,Face-Up (2PT),0
30,Face-Up (2PT),0
31,Face-Up (2PT),1
32,Face-Up (2PT),1
33,Drive Left,0
34,Drive Left,0
35,Off-Ball Cut,1
36,Off-Ball Cut,1
37,Off-Ball Cut,1
38,Off-Ball Cut,1
39,Off-Ball Cut,0
40,Drive Right,0
41,Post-Up Left,0
42,Post-Up Left,0
43,Transition,1
44,Transition,0
