,Shot Type,Outcome
0,Dribble Pull-Up,1
1,Catch and Shoot (Set),0
2,Dribble Pull-Up,0
3,Pick-and-Roll Floater,0
4,Isolation Drive,0
5,Catch and Shoot (Set),0
6,Isolation Drive,1
7,Catch and Shoot (Set),1
8,Catch and Shoot (Set),1
9,Dribble Pull-Up,1
10,Isolation Floater,0
11,Dribble Pull-Up,1
12,Dribble Pull-Up,0
13,Backdoor Layup,1
14,Dribble Pull-Up,0
15,Catch and Shoot (Set),1
16,Isolation Floater,0
17,Catch and Shoot (Set),1
18,Catch and Shoot (Set),1
19,Dribble Pull-Up,0
20,Catch and Shoot (Set),0
21,Isolation Floater,1
22,Off-Ball Screen Layup,0
23,Catch and Shoot (Set),0
24,Catch and Shoot (Set),1
25,Catch and Shoot (Set),1
26,Catch and Shoot (Set),1
27,Post Fade,1
28,Transition Layup,1
29,Post Fade,1
30,Post Fade,0
31,Dribble Pull-Up,0
32,Dribble Pull-Up,1
33,Catch and Shoot (Set),1
34,Off-Ball Screen Layup,0
35,OREB Layup,1
36,Catch and Shoot (Set),0
37,Catch and Shoot (Set),0
38,Post Fade,1
39,Catch and Shoot (Set),1
40,Catch and Shoot (Set),1
41,Isolation Layup,1
42,Dribble Pull-Up,0
43,Dribble Pull-Up,1
44,Dribble Pull-Up,1
45,Post Fade,0
46,Catch and Shoot (Set),0
47,Catch and Shoot (Set),0
48,Dribble Pull-Up,0
49,Post Fade,1
50,Post Fade,1
51,Post Fade,0
