,LINK
0,https://www.espn.com/mens-college-basketball/team/_/id/357/texas-am-corpus-christi-islanders
1,https://www.espn.com/mens-college-basketball/team/_/id/333/alabama-crimson-tide
2,https://www.espn.com/mens-college-basketball/team/_/id/94/northern-kentucky-norse
3,https://www.espn.com/mens-college-basketball/team/_/id/248/houston-cougars
4,https://www.espn.com/mens-college-basketball/team/_/id/47/howard-bison
5,https://www.espn.com/mens-college-basketball/team/_/id/2305/kansas-jayhawks
6,https://www.espn.com/mens-college-basketball/team/_/id/2142/colgate-raiders
7,https://www.espn.com/mens-college-basketball/team/_/id/251/texas-longhorns
8,https://www.espn.com/mens-college-basketball/team/_/id/2427/unc-asheville-bulldogs
9,https://www.espn.com/mens-college-basketball/team/_/id/26/ucla-bruins
10,https://www.espn.com/mens-college-basketball/team/_/id/163/princeton-tigers
11,https://www.espn.com/mens-college-basketball/team/_/id/12/arizona-wildcats
12,https://www.espn.com/mens-college-basketball/team/_/id/198/oral-roberts-golden-eagles
13,https://www.espn.com/mens-college-basketball/team/_/id/150/duke-blue-devils
14,https://www.espn.com/mens-college-basketball/team/_/id/231/furman-paladins
15,https://www.espn.com/mens-college-basketball/team/_/id/258/virginia-cavaliers
16,https://www.espn.com/mens-college-basketball/team/_/id/213/penn-state-nittany-lions
17,https://www.espn.com/mens-college-basketball/team/_/id/245/texas-am-aggies
18,https://www.espn.com/mens-college-basketball/team/_/id/232/charleston-cougars
19,https://www.espn.com/mens-college-basketball/team/_/id/21/san-diego-state-aztecs
20,https://www.espn.com/mens-college-basketball/team/_/id/309/louisiana-ragin-cajuns
21,https://www.espn.com/mens-college-basketball/team/_/id/2633/tennessee-volunteers
22,https://www.espn.com/mens-college-basketball/team/_/id/328/utah-state-aggies
23,https://www.espn.com/mens-college-basketball/team/_/id/142/missouri-tigers
24,https://www.espn.com/mens-college-basketball/team/_/id/277/west-virginia-mountaineers
25,https://www.espn.com/mens-college-basketball/team/_/id/120/maryland-terrapins
26,https://www.espn.com/mens-college-basketball/team/_/id/356/illinois-fighting-illini
27,https://www.espn.com/mens-college-basketball/team/_/id/8/arkansas-razorbacks
28,https://www.espn.com/mens-college-basketball/team/_/id/2/auburn-tigers
29,https://www.espn.com/mens-college-basketball/team/_/id/2294/iowa-hawkeyes
30,https://www.espn.com/mens-college-basketball/team/_/id/68/boise-state-broncos
31,https://www.espn.com/mens-college-basketball/team/_/id/77/northwestern-wildcats
32,https://www.espn.com/mens-college-basketball/team/_/id/261/vermont-catamounts
33,https://www.espn.com/mens-college-basketball/team/_/id/269/marquette-golden-eagles
34,https://www.espn.com/mens-college-basketball/team/_/id/2253/grand-canyon-lopes
35,https://www.espn.com/mens-college-basketball/team/_/id/2250/gonzaga-bulldogs
36,https://www.espn.com/mens-college-basketball/team/_/id/314/iona-gaels
37,https://www.espn.com/mens-college-basketball/team/_/id/41/uconn-huskies
38,https://www.espn.com/mens-college-basketball/team/_/id/2540/uc-santa-barbara-gauchos
39,https://www.espn.com/mens-college-basketball/team/_/id/239/baylor-bears
40,https://www.espn.com/mens-college-basketball/team/_/id/338/kennesaw-state-owls
41,https://www.espn.com/mens-college-basketball/team/_/id/2752/xavier-musketeers
42,https://www.espn.com/mens-college-basketball/team/_/id/147/montana-state-bobcats
43,https://www.espn.com/mens-college-basketball/team/_/id/2306/kansas-state-wildcats
44,https://www.espn.com/mens-college-basketball/team/_/id/2181/drake-bulldogs
45,https://www.espn.com/mens-college-basketball/team/_/id/2390/miami-hurricanes
46,https://www.espn.com/mens-college-basketball/team/_/id/2670/vcu-rams
47,https://www.espn.com/mens-college-basketball/team/_/id/2608/saint-marys-gaels
48,https://www.espn.com/mens-college-basketball/team/_/id/2309/kent-state-golden-flashes
49,https://www.espn.com/mens-college-basketball/team/_/id/84/indiana-hoosiers
50,https://www.espn.com/mens-college-basketball/team/_/id/2226/florida-atlantic-owls
51,https://www.espn.com/mens-college-basketball/team/_/id/235/memphis-tigers
52,https://www.espn.com/mens-college-basketball/team/_/id/30/usc-trojans
53,https://www.espn.com/mens-college-basketball/team/_/id/127/michigan-state-spartans
54,https://www.espn.com/mens-college-basketball/team/_/id/152/nc-state-wolfpack
55,https://www.espn.com/mens-college-basketball/team/_/id/156/creighton-bluejays
56,https://www.espn.com/mens-college-basketball/team/_/id/161/fairleigh-dickinson-knights
57,https://www.espn.com/mens-college-basketball/team/_/id/2509/purdue-boilermakers
58,https://www.espn.com/mens-college-basketball/team/_/id/2507/providence-friars
59,https://www.espn.com/mens-college-basketball/team/_/id/96/kentucky-wildcats
60,https://www.espn.com/mens-college-basketball/team/_/id/9/arizona-state-sun-devils
61,https://www.espn.com/mens-college-basketball/team/_/id/2628/tcu-horned-frogs
62,https://www.espn.com/mens-college-basketball/team/_/id/221/pittsburgh-panthers
63,https://www.espn.com/mens-college-basketball/team/_/id/66/iowa-state-cyclones
