Opponent,W/L,Margin,POSS,OPP POSS,PPP,OPP PPP,REB,OPP REB,ORB%,DRB%,RB%,TO%
Carroll (WI),W,4,68.0,69.6,0.82,0.75,43,36,42.5,66.7,54.400000000000006,33.800000000000004
Millikin,W,10,70.7,72.5,1.12,0.95,40,30,54.300000000000004,60.0,57.099999999999994,32.5
Ill. Wesleyan,W,9,70.6,71.3,0.99,0.86,32,35,30.599999999999998,67.7,47.8,22.7
Ripon,W,14,70.3,73.2,0.95,0.72,35,35,28.9,75.0,50.0,24.2
Edgewood,W,12,66.0,65.3,1.05,0.87,47,36,46.0,72.7,56.599999999999994,18.2
Calvin,L,-2,71.9,70.3,0.89,0.94,30,37,26.200000000000003,76.0,44.800000000000004,19.5
Wis.-La Crosse,W,5,65.1,66.8,0.89,0.79,44,33,33.300000000000004,75.0,57.099999999999994,32.300000000000004
UW-River Falls,L,-3,67.0,67.1,0.96,1.0,32,33,30.3,68.8,49.2,26.900000000000002
Augustana (IL),W,28,71.9,72.5,1.28,0.88,35,28,38.7,71.89999999999999,55.60000000000001,27.800000000000004
Total,,77,69.1,69.9,1.0,0.86,338,303,37.0,70.3,52.7,26.400000000000002
